dataset,word,n,tf,idf,tf_idf,log_odds_weighted,lo_abs
broad,bypass,93,1.8632345752225864e-4,0.6931471805599453,1.291495792537343e-4,3.8683341277606824,3.8683341277606824
broad,plateau,93,1.8632345752225864e-4,0.6931471805599453,1.291495792537343e-4,3.8683341277606824,3.8683341277606824
broad,cabg,92,1.8431997948438488e-4,0.6931471805599453,1.2776087410046834e-4,3.8474743017949784,3.8474743017949784
broad,subdural,92,1.8431997948438488e-4,0.6931471805599453,1.2776087410046834e-4,3.8474743017949784,3.8474743017949784
broad,incision,91,1.8231650144651115e-4,0.6931471805599453,1.263721689472024e-4,3.826500895866719,3.826500895866719
broad,mets,91,1.8231650144651115e-4,0.6931471805599453,1.263721689472024e-4,3.826500895866719,3.826500895866719
broad,acyclovir,90,1.803130234086374e-4,0.6931471805599453,1.2498346379393642e-4,3.8054120319984714,3.8054120319984714
broad,pacemaker,90,1.803130234086374e-4,0.6931471805599453,1.2498346379393642e-4,3.8054120319984714,3.8054120319984714
broad,subcutaneous,90,1.803130234086374e-4,0.6931471805599453,1.2498346379393642e-4,3.8054120319984714,3.8054120319984714
broad,hiv,89,1.7830954537076364e-4,0.6931471805599453,1.2359475864067045e-4,3.7842057798956024,3.7842057798956024
broad,paralyzed,88,1.763060673328899e-4,0.6931471805599453,1.222060534874045e-4,3.762880154882817,3.762880154882817
broad,thalessemia,87,1.7430258929501614e-4,0.6931471805599453,1.2081734833413854e-4,3.7414331157349694,3.7414331157349694
broad,cipro,86,1.7229911125714239e-4,0.6931471805599453,1.1942864318087257e-4,3.7198625623952744,3.7198625623952744
broad,returns,86,1.7229911125714239e-4,0.6931471805599453,1.1942864318087257e-4,3.7198625623952744,3.7198625623952744
broad,svg,86,1.7229911125714239e-4,0.6931471805599453,1.1942864318087257e-4,3.7198625623952744,3.7198625623952744
broad,trial,86,1.7229911125714239e-4,0.6931471805599453,1.1942864318087257e-4,3.7198625623952744,3.7198625623952744
broad,xrt,85,1.7029563321926865e-4,0.6931471805599453,1.1803993802760663e-4,3.6981663335737918,3.6981663335737918
broad,tachy,82,1.642851991056474e-4,0.6931471805599453,1.1387382256780875e-4,3.632301008750799,3.632301008750799
broad,tazobactam,82,1.642851991056474e-4,0.6931471805599453,1.1387382256780875e-4,3.632301008750799,3.632301008750799
broad,lymphatic,81,1.6228172106777365e-4,0.6931471805599453,1.1248511741454277e-4,3.6100791490041555,3.6100791490041555
broad,nodes,81,1.6228172106777365e-4,0.6931471805599453,1.1248511741454277e-4,3.6100791490041555,3.6100791490041555
broad,omeprazole,81,1.6228172106777365e-4,0.6931471805599453,1.1248511741454277e-4,3.6100791490041555,3.6100791490041555
broad,pancreatic,81,1.6228172106777365e-4,0.6931471805599453,1.1248511741454277e-4,3.6100791490041555,3.6100791490041555
broad,exacerbation,80,1.6027824302989991e-4,0.6931471805599453,1.1109641226127683e-4,3.587719795359844,3.587719795359844
broad,tumor,80,1.6027824302989991e-4,0.6931471805599453,1.1109641226127683e-4,3.587719795359844,3.587719795359844
broad,varices,80,1.6027824302989991e-4,0.6931471805599453,1.1109641226127683e-4,3.587719795359844,3.587719795359844
broad,numbness,79,1.5827476499202616e-4,0.6931471805599453,1.0970770710801086e-4,3.5652203609302973,3.5652203609302973
broad,sacral,79,1.5827476499202616e-4,0.6931471805599453,1.0970770710801086e-4,3.5652203609302973,3.5652203609302973
broad,bedtime,78,1.562712869541524e-4,0.6931471805599453,1.083190019547449e-4,3.5425781766944766,3.5425781766944766
broad,chewable,78,1.562712869541524e-4,0.6931471805599453,1.083190019547449e-4,3.5425781766944766,3.5425781766944766
broad,collar,78,1.562712869541524e-4,0.6931471805599453,1.083190019547449e-4,3.5425781766944766,3.5425781766944766
broad,brady,77,1.5426780891627867e-4,0.6931471805599453,1.0693029680147895e-4,3.51979048780035,3.51979048780035
broad,furosemide,77,1.5426780891627867e-4,0.6931471805599453,1.0693029680147895e-4,3.51979048780035,3.51979048780035
broad,pacing,77,1.5426780891627867e-4,0.6931471805599453,1.0693029680147895e-4,3.51979048780035,3.51979048780035
broad,stop,77,1.5426780891627867e-4,0.6931471805599453,1.0693029680147895e-4,3.51979048780035,3.51979048780035
broad,differentiated,76,1.522643308784049e-4,0.6931471805599453,1.0554159164821298e-4,3.496854449650164,3.496854449650164
broad,ulcers,76,1.522643308784049e-4,0.6931471805599453,1.0554159164821298e-4,3.496854449650164,3.496854449650164
broad,chemotherapy,75,1.5026085284053118e-4,0.6931471805599453,1.0415288649494703e-4,3.473767123753323,3.473767123753323
broad,paced,75,1.5026085284053118e-4,0.6931471805599453,1.0415288649494703e-4,3.473767123753323,3.473767123753323
broad,physiology,75,1.5026085284053118e-4,0.6931471805599453,1.0415288649494703e-4,3.473767123753323,3.473767123753323
broad,anorexia,74,1.4825737480265742e-4,0.6931471805599453,1.0276418134168106e-4,3.450525473329575,3.450525473329575
broad,pcont,74,1.4825737480265742e-4,0.6931471805599453,1.0276418134168106e-4,3.450525473329575,3.450525473329575
broad,rhonchorous,74,1.4825737480265742e-4,0.6931471805599453,1.0276418134168106e-4,3.450525473329575,3.450525473329575
broad,amiodarone,73,1.4625389676478366e-4,0.6931471805599453,1.013754761884151e-4,3.4271263586438137,3.4271263586438137
broad,atypical,72,1.4425041872690993e-4,0.6931471805599453,9.998677103514915e-5,3.403566532052386,3.403566532052386
broad,des,72,1.4425041872690993e-4,0.6931471805599453,9.998677103514915e-5,3.403566532052386,3.403566532052386
broad,lcx,72,1.4425041872690993e-4,0.6931471805599453,9.998677103514915e-5,3.403566532052386,3.403566532052386
broad,rca,72,1.4425041872690993e-4,0.6931471805599453,9.998677103514915e-5,3.403566532052386,3.403566532052386
broad,graft,71,1.4224694068903617e-4,0.6931471805599453,9.859806588188318e-5,3.379842632738436,3.379842632738436
broad,ivc,70,1.402434626511624e-4,0.6931471805599453,9.720936072861721e-5,3.3559511811126588,3.3559511811126588
broad,pcm,70,1.402434626511624e-4,0.6931471805599453,9.720936072861721e-5,3.3559511811126588,3.3559511811126588
broad,tamponade,70,1.402434626511624e-4,0.6931471805599453,9.720936072861721e-5,3.3559511811126588,3.3559511811126588
broad,fx,69,1.3823998461328868e-4,0.6931471805599453,9.582065557535126e-5,3.331888572852536,3.331888572852536
broad,ddx,68,1.3623650657541492e-4,0.6931471805599453,9.44319504220853e-5,3.30765107255139,3.30765107255139
broad,delirium,68,1.3623650657541492e-4,0.6931471805599453,9.44319504220853e-5,3.30765107255139,3.30765107255139
broad,ep,68,1.3623650657541492e-4,0.6931471805599453,9.44319504220853e-5,3.30765107255139,3.30765107255139
broad,newly,68,1.3623650657541492e-4,0.6931471805599453,9.44319504220853e-5,3.30765107255139,3.30765107255139
broad,peak,68,1.3623650657541492e-4,0.6931471805599453,9.44319504220853e-5,3.30765107255139,3.30765107255139
broad,empiric,67,1.3423302853754116e-4,0.6931471805599453,9.304324526881933e-5,3.2832348069456163,3.2832348069456163
broad,lamictal,67,1.3423302853754116e-4,0.6931471805599453,9.304324526881933e-5,3.2832348069456163,3.2832348069456163
broad,tropt,67,1.3423302853754116e-4,0.6931471805599453,9.304324526881933e-5,3.2832348069456163,3.2832348069456163
broad,autoflow,66,1.3222955049966743e-4,0.6931471805599453,9.165454011555338e-5,3.2586357576851825,3.2586357576851825
broad,cardioversion,66,1.3222955049966743e-4,0.6931471805599453,9.165454011555338e-5,3.2586357576851825,3.2586357576851825
broad,lamotrigine,66,1.3222955049966743e-4,0.6931471805599453,9.165454011555338e-5,3.2586357576851825,3.2586357576851825
broad,psychiatric,66,1.3222955049966743e-4,0.6931471805599453,9.165454011555338e-5,3.2586357576851825,3.2586357576851825
broad,carboplatin,65,1.3022607246179367e-4,0.6931471805599453,9.026583496228741e-5,3.2338497536092747,3.2338497536092747
broad,decompensated,65,1.3022607246179367e-4,0.6931471805599453,9.026583496228741e-5,3.2338497536092747,3.2338497536092747
broad,pg,65,1.3022607246179367e-4,0.6931471805599453,9.026583496228741e-5,3.2338497536092747,3.2338497536092747
broad,ground,64,1.2822259442391994e-4,0.6931471805599453,8.887712980902147e-5,3.208872462485033,3.208872462485033
broad,chemo,63,1.2621911638604618e-4,0.6931471805599453,8.748842465575549e-5,3.183699382162971,3.183699382162971
broad,flows,63,1.2621911638604618e-4,0.6931471805599453,8.748842465575549e-5,3.183699382162971,3.183699382162971
broad,decadron,62,1.2421563834817242e-4,0.6931471805599453,8.609971950248953e-5,3.1583258310981677,3.1583258310981677
broad,isolette,62,1.2421563834817242e-4,0.6931471805599453,8.609971950248953e-5,3.1583258310981677,3.1583258310981677
broad,ablation,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,bizarre,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,cal,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,dissection,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,embolization,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,filter,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,gib,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,qhs,61,1.222121603102987e-4,0.6931471805599453,8.471101434922359e-5,3.132746938180359,3.132746938180359
broad,ppm,60,1.2020868227242493e-4,0.6931471805599453,8.332230919595761e-5,3.106957631810731,3.106957631810731
broad,vac,60,1.2020868227242493e-4,0.6931471805599453,8.332230919595761e-5,3.106957631810731,3.106957631810731
broad,lorazepam,59,1.1820520423455118e-4,0.6931471805599453,8.193360404269166e-5,3.080952628155798,3.080952628155798
broad,postoperative,59,1.1820520423455118e-4,0.6931471805599453,8.193360404269166e-5,3.080952628155798,3.080952628155798
broad,block,58,1.1620172619667743e-4,0.6931471805599453,8.05448988894257e-5,3.054726418501426,3.054726418501426
broad,compression,58,1.1620172619667743e-4,0.6931471805599453,8.05448988894257e-5,3.054726418501426,3.054726418501426
broad,considered,58,1.1620172619667743e-4,0.6931471805599453,8.05448988894257e-5,3.054726418501426,3.054726418501426
broad,hap,58,1.1620172619667743e-4,0.6931471805599453,8.05448988894257e-5,3.054726418501426,3.054726418501426
broad,tricyclic,58,1.1620172619667743e-4,0.6931471805599453,8.05448988894257e-5,3.054726418501426,3.054726418501426
broad,cisatracurium,57,1.1419824815880368e-4,0.6931471805599453,7.915619373615974e-5,3.0282732556212353,3.0282732556212353
broad,hyperglycemia,57,1.1419824815880368e-4,0.6931471805599453,7.915619373615974e-5,3.0282732556212353,3.0282732556212353
broad,operative,57,1.1419824815880368e-4,0.6931471805599453,7.915619373615974e-5,3.0282732556212353,3.0282732556212353
broad,pericardiotomy,57,1.1419824815880368e-4,0.6931471805599453,7.915619373615974e-5,3.0282732556212353,3.0282732556212353
broad,sugars,57,1.1419824815880368e-4,0.6931471805599453,7.915619373615974e-5,3.0282732556212353,3.0282732556212353
broad,cauda,56,1.1219477012092993e-4,0.6931471805599453,7.776748858289378e-5,3.001587139063864,3.001587139063864
broad,concentrate,56,1.1219477012092993e-4,0.6931471805599453,7.776748858289378e-5,3.001587139063864,3.001587139063864
broad,equina,56,1.1219477012092993e-4,0.6931471805599453,7.776748858289378e-5,3.001587139063864,3.001587139063864
broad,infusing,56,1.1219477012092993e-4,0.6931471805599453,7.776748858289378e-5,3.001587139063864,3.001587139063864
broad,lymphoma,56,1.1219477012092993e-4,0.6931471805599453,7.776748858289378e-5,3.001587139063864,3.001587139063864
broad,ant,55,1.1019129208305619e-4,0.6931471805599453,7.637878342962782e-5,2.9746617992523965,2.9746617992523965
broad,ci,55,1.1019129208305619e-4,0.6931471805599453,7.637878342962782e-5,2.9746617992523965,2.9746617992523965
broad,critical,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,dysarthria,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,hyperlipidemia,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,malignant,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,pericarditis,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,qam,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,repair,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,simvastatin,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,swaddled,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,tape,54,1.0818781404518243e-4,0.6931471805599453,7.499007827636184e-5,2.947490680276532,2.947490680276532
broad,double,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,hydrochloride,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,hyperbilirubinemia,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,hyperdynamic,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,osteomyelitis,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,sclc,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,serous,53,1.0618433600730869e-4,0.6931471805599453,7.36013731230959e-5,2.9200669212438966,2.9200669212438966
broad,abnormality,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,anesthesia,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,critically,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,expected,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,finger,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,hob,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,holding,52,1.0418085796943494e-4,0.6931471805599453,7.221266796982994e-5,2.892383336039947,2.892383336039947
broad,dsng,51,1.021773799315612e-4,0.6931471805599453,7.082396281656398e-5,2.8644323913274268,2.8644323913274268
broad,sons,51,1.021773799315612e-4,0.6931471805599453,7.082396281656398e-5,2.8644323913274268,2.8644323913274268
broad,thickening,51,1.021773799315612e-4,0.6931471805599453,7.082396281656398e-5,2.8644323913274268,2.8644323913274268
broad,trach,51,1.021773799315612e-4,0.6931471805599453,7.082396281656398e-5,2.8644323913274268,2.8644323913274268
broad,vertebroplasty,51,1.021773799315612e-4,0.6931471805599453,7.082396281656398e-5,2.8644323913274268,2.8644323913274268
broad,arrest,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,bottle,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,hernia,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,nodules,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,retractions,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,sternal,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,systemic,50,1.0017390189368744e-4,0.6931471805599453,6.943525766329801e-5,2.836206182594651,2.836206182594651
broad,cpr,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,derecruitment,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,enalapril,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,pacu,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,pod,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,prostate,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,ugi,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,vl,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,xy,49,9.817042385581369e-5,0.6931471805599453,6.804655251003205e-5,2.8076964080365236,2.8076964080365236
broad,clopidogrel,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,cocaine,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,crp,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,db,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,esr,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,indirect,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,obesity,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,toprol,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,wires,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,xl,48,9.616694581793995e-5,0.6931471805599453,6.665784735676609e-5,2.778894340024017,2.778894340024017
broad,ag,47,9.41634677800662e-5,0.6931471805599453,6.526914220350014e-5,2.749790793884115,2.749790793884115
broad,cycle,47,9.41634677800662e-5,0.6931471805599453,6.526914220350014e-5,2.749790793884115,2.749790793884115
broad,desire,47,9.41634677800662e-5,0.6931471805599453,6.526914220350014e-5,2.749790793884115,2.749790793884115
broad,laterally,47,9.41634677800662e-5,0.6931471805599453,6.526914220350014e-5,2.749790793884115,2.749790793884115
broad,pericardiocentesis,47,9.41634677800662e-5,0.6931471805599453,6.526914220350014e-5,2.749790793884115,2.749790793884115
broad,brbpr,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,collection,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,dsd,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,erythema,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,fos,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,gabapentin,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,glass,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,obstipation,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,overloaded,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,prognosis,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,restriction,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,vad,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,wgt,46,9.215998974219244e-5,0.6931471805599453,6.388043705023417e-5,2.72037609367357,2.72037609367357
broad,carcinoma,45,9.01565117043187e-5,0.6931471805599453,6.249173189696821e-5,2.6906400345851886,2.6906400345851886
broad,cytology,45,9.01565117043187e-5,0.6931471805599453,6.249173189696821e-5,2.6906400345851886,2.6906400345851886
broad,reglan,45,9.01565117043187e-5,0.6931471805599453,6.249173189696821e-5,2.6906400345851886,2.6906400345851886
broad,arf,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,inhaler,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,irregular,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,pacifier,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,parameters,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,torsades,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,toxicology,44,8.815303366644495e-5,0.6931471805599453,6.110302674370225e-5,2.660571841572467,2.660571841572467
broad,adding,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
broad,desensitization,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
broad,endoscopy,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
broad,films,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
broad,ncat,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
broad,notably,43,8.614955562857119e-5,0.6931471805599453,5.9714321590436285e-5,2.6301601237168657,2.6301601237168657
